nta_code,lon,lat
QN98,-73.74705888139044,40.63716538006781
QN53,-73.84838309520966,40.69626943050772
BK73,-73.95622060602194,40.72344327054538
MN04,-73.93971046746277,40.83019840923463
MN03,-73.93421138335036,40.81958911431544
SI24,-74.09675689013804,40.61063664459014
BK21,-73.97457920699784,40.5829443583675
BK23,-73.9695165005258,40.5754519851306
QN19,-73.85628170394664,40.707709025238366
MN01,-73.92161507288301,40.85648660778604
BX06,-73.88284141379978,40.86627281040742
MN11,-73.94317587615153,40.80628844319092
MN40,-73.95027674878385,40.78390712614244
MN14,-73.9759577218822,40.77622680674431
BX28,-73.8870674008376,40.8840387541737
MN09,-73.95292614478912,40.81033999203852
MN12,-73.96074565458049,40.797070679133355
MN22,-73.98179971004444,40.73105272800986
MN28,-73.98186074217642,40.7057291039039
