"","time","type","avg_rent"
"614","2011-04","Single-Family Residence",NA
"615","2011-05","Single-Family Residence",NA
"616","2011-06","Single-Family Residence",NA
"617","2011-07","Single-Family Residence",NA
"618","2011-08","Single-Family Residence",NA
"619","2011-09","Single-Family Residence",NA
"620","2011-10","Single-Family Residence",NA
"621","2011-11","Single-Family Residence",NA
"622","2011-12","Single-Family Residence",NA
"623","2012-01","Single-Family Residence",NA
"624","2012-02","Single-Family Residence",NA
"625","2012-03","Single-Family Residence",NA
"626","2012-04","Single-Family Residence",NA
"627","2012-05","Single-Family Residence",NA
"628","2012-06","Single-Family Residence",NA
"629","2012-07","Single-Family Residence",NA
"630","2012-08","Single-Family Residence",NA
"631","2012-09","Single-Family Residence",NA
"632","2012-10","Single-Family Residence",NA
"633","2012-11","Single-Family Residence",NA
"634","2012-12","Single-Family Residence",NA
"635","2013-01","Single-Family Residence",NA
"636","2013-02","Single-Family Residence",NA
"637","2013-03","Single-Family Residence",NA
"638","2013-04","Single-Family Residence",NA
"639","2013-05","Single-Family Residence",NA
"640","2013-06","Single-Family Residence",NA
"641","2013-07","Single-Family Residence",NA
"642","2013-08","Single-Family Residence",5.23728873128107
"643","2013-09","Single-Family Residence",5.27058682384669
"644","2013-10","Single-Family Residence",5.23461852121038
"645","2013-11","Single-Family Residence",5.0742570684953
"646","2013-12","Single-Family Residence",5.25609235073774
"647","2014-01","Single-Family Residence",5.21179223982863
"648","2014-02","Single-Family Residence",5.12427284360713
"649","2014-03","Single-Family Residence",5.11137035449183
"650","2014-04","Single-Family Residence",5.0076729703435
"651","2014-05","Single-Family Residence",5.13129393389602
"652","2014-06","Single-Family Residence",5.17402079118125
"653","2014-07","Single-Family Residence",5.32759233122185
"654","2014-08","Single-Family Residence",5.34776335010939
"655","2014-09","Single-Family Residence",5.32698181250876
"656","2014-10","Single-Family Residence",5.28776206380487
"657","2014-11","Single-Family Residence",5.32263769566464
"658","2014-12","Single-Family Residence",5.34350478205465
"659","2015-01","Single-Family Residence",5.30606540444345
"660","2015-02","Single-Family Residence",5.37130834497879
"661","2015-03","Single-Family Residence",5.34788880193197
"662","2015-04","Single-Family Residence",5.37179341895052
"663","2015-05","Single-Family Residence",5.33772585638838
"664","2015-06","Single-Family Residence",5.2695108956357
"665","2015-07","Single-Family Residence",5.28769933789358
"666","2015-08","Single-Family Residence",5.29308352375608
"667","2015-09","Single-Family Residence",5.32686357001226
"668","2015-10","Single-Family Residence",5.31126393980987
"669","2015-11","Single-Family Residence",5.33311067303948
"670","2015-12","Single-Family Residence",5.32747307045646
"671","2016-01","Single-Family Residence",5.34516408242617
"672","2016-02","Single-Family Residence",5.38214094450277
"673","2016-03","Single-Family Residence",5.3794162320782
"674","2016-04","Single-Family Residence",5.38761773356028
"675","2016-05","Single-Family Residence",5.39234122229895
"676","2016-06","Single-Family Residence",5.37777158608044
"677","2016-07","Single-Family Residence",5.38378135395963
"678","2016-08","Single-Family Residence",5.377865912741
"679","2016-09","Single-Family Residence",5.37744180734378
"680","2016-10","Single-Family Residence",5.38288581777676
"681","2016-11","Single-Family Residence",5.38337088466727
"682","2016-12","Single-Family Residence",5.3869093568424
"683","2017-01","Single-Family Residence",5.37254192555199
"684","2017-02","Single-Family Residence",5.37415497080049
"685","2017-03","Single-Family Residence",5.32902117381466
"686","2017-04","Single-Family Residence",5.33522001973748
"687","2017-05","Single-Family Residence",5.29603589575402
"688","2017-06","Single-Family Residence",5.35945396883963
"689","2017-07","Single-Family Residence",5.37694240913634
"690","2017-08","Single-Family Residence",5.35735169590197
"691","2017-09","Single-Family Residence",5.37238761133644
"692","2017-10","Single-Family Residence",5.333885916765
"693","2017-11","Single-Family Residence",5.36720796350652
